CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Description,spring1,fall1,spring2,fall2
GEO101,Environmental Geology,Undergraduate,3.0,NONE,NONE,"Fundamental earth science concepts are used to assess the impact of increasing global population and development on earth's natural resources and also to examine how natural processes affect human activities. Topics include water usage and pollution, soil pollution and erosion, radioactive and solid waste disposal, landslides, stream flooding, coastal erosion, environmental consequences of energy and mineral resource utilization, acid rain, global climate change, and the environment effects on human health. Aspects of environmental geology that are particularly applicable to Long Island and metropolitan New York are emphasized.",1,1,1,1
GEO102,The Earth,Undergraduate,3.0,NONE,NONE,"A summary of the processes that have shaped the earth and the other terrestrial planets as inferred from study of their surface materials, structural features, and interiors. Topics include the earth in the solar system; earth materials and rock-forming processes; surface processes and their bearing on human activities; crustal deformation and global tectonics; the earth's interior; and the geological features, compositions, and evolution of the terrestrial planets. Not for credit in addition to GEO 122.",1,1,1,1
GEO103,The Earth Through Time,Undergraduate,3.0,NONE,NONE,"The history of the earth from its formation 4.5 billion years ago to the present. Major issues to be addressed include formation and early history of the earth and moon; evolution of continents, oceans, and atmosphere within the framework of plate tectonics; origin of life; and evidence of past climates.",1,1,1,1
GEO104,Ripples Across the World: Global Effects of Natural Disasters,Undergraduate,3.0,NONE,NONE,"Earthquakes and tsunamis create widespread devastation. Volcanic eruptions bury cities under ash and cause closures of distant airports. Heavy rains cause landslides and flooding. How do these disasters happen? What are the secondary global effects on societal infrastructure, on public health, on international trade? How do societal differences cause varied local responses and affect the global impact? This course focuses on evaluating the global effects of several recent geological disasters. Scientific and popular news sources are used to explore the underlying natural phenomena and the nature and global distribution of the effects from geologic, economic, and public health perspectives.",1,1,1,1
GEO105,Energy Resources in Transition,Undergraduate,3.0,NONE,NONE,"The increasing impacts of the climate change crisis present us with the urgent challenge of reducing greenhouse gas emissions, requiring an energy transition on a scale humanity has never attempted. This course examines current energy sources to assess their impacts on the global environment and evaluate their fitness for long term sustainability. Existing and potential energy sources, from fossil fuels to more sustainable energy sources, including nuclear, geothermal, solar, wind, hydro, and tidal, will be examined from the geologic processes that create them, technological advances in production and utilization, to their limitations and societal impacts. The evolving status of sustainable energy sources will be evaluated, projecting forward to anticipate energy needs and future availability of resources on decade to century time scales.",1,1,1,1
GEO106,Planetary Geology,Undergraduate,3.0,NONE,NONE,"Geology and geological history of the terrestrial planets, planetary satellites and minor bodies of the solar system are evaluated. Whenever possible, emphasis will be placed on geological results from the most recent planetary missions. Among the main topics to be considered are meteorites and the origin of terrestrial planets, the internal structure of terrestrial planets, planetary volcanism, planetary stratigraphy, surface processes such as meteorite impacts, wind and weathering, minor bodies of the solar system and the origin of the solar system. Not for credit in addition to AST 105 or AST 205.",1,1,1,1
GEO107,Natural Hazards,Undergraduate,3.0,NONE,NONE,"An introduction to the concepts, techniques, and scientific methods used in the earth sciences. The natural hazards posed by earthquakes and volcanic eruptions are used as a focus. These phenomena are examined in the context of the theory of plate tectonics to determine their cause, destructive potential, and the possibility of predicting and controlling their occurrence. Elementary probability methods are introduced in the treatment of approaches to prediction. Societal responses to forecasts are also considered.",1,1,1,1
GEO112,Physical Geology Laboratory,Undergraduate,1.0,[['GEO102']],NONE,"Rock and mineral identification, introduction to topographic and geologic maps. Not for credit in addition to GEO 122.",1,1,1,1
GEO113,Historical Geology Laboratory,Undergraduate,1.0,[['GEO103']],NONE,"An introduction to basic techniques used for interpreting geological history. Topics include interpretation of topographic and geological maps and cross sections, introduction to fossils, and basic stratigraphic techniques. One three-hour laboratory per week.",1,1,1,1
GEO115,Making the Invisible Visible: Polarized light microscopy,Undergraduate,1.0,[['CHE131']],NONE,"Light interacts with crystals and through this interaction reveals information on the composition of the crystals and their internal atomic arrangement. This course provides a hands-on exploration of the construction of the polarized light microscope, its use in investigating the behavior of polarized visible light passing through crystals, and how the observed behavior can be used to identify natural and synthetic crystalline materials. The scientific material covered is of particular relevance to students interested in chemistry, physics, materials science, and planetary and geological science. Two 80-min lectures and one three-hour laboratory per week for a 4-week period.",1,1,1,1
GEO121,Principles of Geology,Undergraduate,4.0,NONE,NONE,Course offered in conjunction with Sayville High School. Equivalent to GEO 122; GEO 122 may not be completed for credit after successful completion of GEO 121.,1,1,1,1
GEO122,Physical Geology,Undergraduate,4.0,NONE,NONE,The nature of the earth and of the processes that shape it: the earth's external and internal energy; minerals and rocks; external processes and the evolution of the landscape; internal processes and the structure of the earth; the earth compared with other planets; sources of materials and energy. Laboratory includes study of minerals and rocks; landforms as shown on topographical maps and aerial photographs; geologic structures inferred from maps and block diagrams; problem sets. Two lectures and one three-hour laboratory and recitation per week. Not for credit in addition to GEO 102.,1,1,1,1
GEO287,Introductory Research in Geology,Undergraduate,0.00 - 3.00,NONE,NONE,"Independent research, under the supervision of a faculty member, at a level appropriate to lower-division students. May be repeated once.",1,1,1,1
GEO303,Sedimentary Geology and Geochronology (with emphasis on the Turkana Basin),Undergraduate,3.0,NONE,NONE,"Field course that applies fundamental geological concepts to the sediments and rock units in the Turkana Basin, Kenya, to provide a foundation for the chronology and context for recorded events in human evolution. Emphasis is given to sedimentation, stratigraphy, volcanism, and tectonics, as they apply to local geology, including training in field methods. Modern terrestrial processes and landscape evolution are examined using features present in the Turkana Basin. Consideration is also given to broader geologic events spanning the Oligocene to the present. Geologic concepts are linked to modern and ancient environments, archaeology, and paleoanthropology in northern Kenya.",1,1,1,1
GEO304,"Energy, Mineral Resources, and the Environment",Undergraduate,3.0,NONE,NONE,"A survey of the origin, distribution, and importance to modern civilization of the fuels and minerals won from the earth. Geology of mineral resources and problems of finding, extracting, and supplying fossil fuels, metallic ores, water, and non-metallic commodities to industry and community as well as the ultimate limits of their abundances. Environmental concerns related to the exploitation of mineral resources with review of legislation and other steps being taken to minimize environmental damage.",1,1,1,1
GEO305,Field Geology,Undergraduate,3.0,"[['GEO122', 'GEO102', 'GEO112']]",NONE,"Geological field studies on and near the Stony Brook campus. Labs emphasize mapping techniques and field studies of glacial and environmental geology, and include geophysical and hydrological analyses and mapping. Course consists of two three-hour sessions per week, divided between lecture and outdoor labs.",1,1,1,1
GEO306,Mineralogy,Undergraduate,3.0,"[['GEO122', 'GEO102', 'GEO112'], ['CHE131', 'CHE129', 'GEO366']]",NONE,"Topics include basic crystallography, crystal chemistry, and identification of the important rock-forming and ore minerals.  Included are the fundamentals of optical crystallography: indices of refraction, isotropic, uniaxial, and biaxial minerals; optical indicatrix theory and interference figures. Three hours of lecture  per week. The laboratory component, GEO 366, must be taken concurrently; a common grade for both courses will be assigned.",1,1,1,1
GEO307,Global Environmental Change,Undergraduate,3.0,"[['SUS111', 'SBC111', 'SUS113', 'SBC113', 'ENS101', 'GEO101', 'GEO102', 'GEO122', 'ENV115', 'CHE131']]",NONE,"An analysis of the physical, chemical, and biological processes in the atmosphere, hydrosphere, lithosphere, and biosphere that are susceptible to change either from natural or anthropogenic causes.  In addition to focusing on the processes, this course will examine the spatial/temporal scales of environmental changes, their consequences to systems including our economic, political, and social systems, and will consider our responsibility and capability in managing systems in a sustainable way. This course is offered as both ENV 304 and GEO 307.",1,1,1,1
GEO309,Structural Geology,Undergraduate,3.0,"[['GEO122', 'GEO102'], ['PHY131', 'PHY125', 'GEO369']]",NONE,"Principles of structural geology, including classification, criteria for recognition, and mechanics of formation of crustal structural features. Elementary concepts of rock mechanics. Discussion of important tectonic features of the continents and oceans. Three hours of lecture per week. A two-day weekend field trip visits ""classic"" structural localities in the East. The laboratory component, GEO 369, must be taken concurrently; a common grade for both courses will be assigned.",1,1,1,1
GEO310,Introduction to Geophysics,Undergraduate,3.0,"[['GEO122', 'GEO102', 'MAT127', 'MAT132', 'MAT142', 'MAT171', 'AMS161'], ['PHY133'], ['PHY132', 'PHY127', 'PHY142']]",NONE,"An introduction to theoretical and applied geophysics. Topics in global geophysics include seisomology, gravity, geomagnetics and heat flow, with applications to the structure and dynamics of the earth's interior. Students conduct computer-based analysis of geophysical data, some of which they collect using techniques of geophysical exploration and environmental geology. Three hours of lecture per week, plus group field experiments and analysis.",1,1,1,1
GEO311,Geoscience and Global Concerns,Undergraduate,3.0,NONE,NONE,"An exploration of how technologically-based problems facing the United States and the world are related to the basic scientific principles that explain the properties of the lithosphere, hydrosphere, and atmosphere. The set of issues include such geoscience-based topics as global warming, fossil fuel resources, nuclear waste disposal, and earthquake prediction and preparedness.",1,1,1,1
GEO313,Understanding Water Resources for the 21st Century,Undergraduate,3.0,NONE,NONE,"A survey of the world's water resources and the fundamental processes and concepts that govern their distribution and resupply.  Topics to be covered include processes in the hydrologic cycle, water resource supply and demand, water quality, and societal aspects relating to drinking water, and industrial and agricultural water usage.  Consideration is given to global water shortages, projected impacts of climate change, water-based conflict, water resource management, and conservation practices.  Detail will be devoted to pollution sources, water quality standards, drinking water treatment, and government regulation.  Local water issues will also be addressed.",1,1,1,1
GEO315,Groundwater Hydrology,Undergraduate,3.0,"[['GEO102', 'GEO122'], ['MAT127', 'MAT132', 'MAT142', 'MAT171', 'AMS161']]",NONE,"Physical and chemical principles of geohydrology. Concepts of groundwater geology. Introduction to quantitative models of regional fluid flow and groundwater contamination. Groundwater and geologic processes, with examples from tectonics, petroleum geology, geothermics, and economic mineralization.",1,1,1,1
GEO316,Geochemistry of Surficial Processes,Undergraduate,4.0,"[['GEO122'], ['CHE132']]",NONE,"Chemical principles used in the study of surface and near-surface water, rocks, and soils. Application of equilibrium concepts and reaction rates to reactions involving gases, fluids, and minerals in nature. Consideration of soil properties and processes.",1,1,1,1
GEO318,Engineering Geology and Coastal Processes,Undergraduate,3.0,"[['GEO122', 'GEO102'], ['MAT127', 'AMS161']]",NONE,"Fundamental concepts of soil, sediment, and rock mechanics and the physics of surficial processes. Application is made to problems of geotechnical and coastal engineering. Topics include consolidation, loose boundary hydraulics, slope stability, underground excavations and beach and tidal inlet stability, and channel sedimentation. This course is offered as both GEO 318 and MAR 318.",1,1,1,1
GEO320,Glacial Geology,Undergraduate,3.0,[['GEO102']],NONE,History of glaciation on earth; formation and dynamics of glaciers and ice sheets; processes of glacial erosion and deposition; and the nature of glacial sediments and landforms particularly relating to the development of Long Island.,1,1,1,1
GEO330,The Geology of Mars,Undergraduate,3.0,"[['GEO102', 'GEO122', 'GEO106']]",NONE,"Overview of Mars as a planetary system. Evolution of the planet and its atmosphere through time. Detailed discussion of processes that have shaped the martian surface, including erosion, sedimentation, volcanism, impact cratering, physical and chemical weathering. Comparison of geologic processes on Mars and Earth. Discussion of past and future spacecraft missions to Mars.",1,1,1,1
GEO347,Remote Sensing,Undergraduate,3.0,"[['GEO102', 'GEO106', 'GEO122']]",NONE,"An introduction to the fundamental principles of remote sensing, with emphasis on geological and environmental applications.  Discussion of the physical basis for remote sensing techniques.  Survey of commonly used sensors and image analysis methods in earth sciences. Participants gain practical experience in geologic and environmental analysis using satellite imagery.",1,1,1,1
GEO366,Mineralogy Laboratory,Undergraduate,1.0,[['GEO306']],NONE,"Three hours of laboratory per week that corresponds to the content of GEO 306. Laboratory exercises involve work with crystallographic models, mineral samples, refraction oils and the polarizing light microscope. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1,1,1
GEO369,Structural Geology Laboratory,Undergraduate,1.0,[['GEO309']],NONE,Three hours of laboratory per week that corresponds to the content of GEO 309. Laboratory exercises cover map interpretation and algebraic and graphical solutions of structural problems. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.,1,1,1,1
GEO403,Sedimentation and Stratigraphy,Undergraduate,3.0,"[['GEO103'], ['GEO113'], ['GEO306', 'GEO366', 'GEO463']]",NONE,"The history and practice of defining units of layered rocks and interpreting their spatial relationships. Topics include the basis for the geologic time scale, lithostratigraphic versus chronostratigraphic units, biostratigraphy, magnetostratigraphy, facies patterns and Walther's Law, subsurface stratigraphy, and the application of stratigraphy to geological problems. The laboratory component, GEO 463, must be taken concurrently; a common grade for both courses will be assigned.",1,1,1,1
GEO404,Geomorphology,Undergraduate,3.0,"[['GEO102', 'GEO122']]",NONE,"An introduction to the study of landforms and the processes that produce and modify them. This active learning class meets for two, three-hour periods each week consisting of recitations, discussions, and exercises. A significant portion of the exercises will relate to Long Island geomorphology. Computers will be used extensively in class.",1,1,1,1
GEO405,Field Camp,Undergraduate,1.00 - 6.00,NONE,NONE,A field course that may be taken at any one of several approved university field stations.,1,1,1,1
GEO407,Igneous and Metamorphic Petrology,Undergraduate,3.0,"[['MAT125', 'MAT131', 'AMS151'], ['GEO306', 'GEO366', 'GEO467']]",NONE,"Topics focus on the processes that govern the formation and distribution of igneous and metamorphic rocks and their link to the Earth's mantle, crust, and tectonic regimes. Emphasis will be placed on integrating assessment of the chemical control on compositional diversity through phase diagrams with the study of natural rock suites through hand sample and thin section analysis. Three hours of lecture per week. The laboratory component, GEO 467, must be taken concurrently; a common grade for both courses will be assigned.",1,1,1,1
GEO444,Experiential Learning,Undergraduate,0.0,[['WRT102']],NONE,"This course is designed for students who engage in a substantial, structured experiential learning activity in conjunction with another class. Experiential learning occurs when knowledge acquired through formal learning and past experience are applied to a ""real-world"" setting or problem to create new knowledge through a process of reflection, critical analysis, feedback and synthesis. Beyond-the-classroom experiences that support experiential learning may include: service learning, mentored research, field work, or an internship.",1,1,1,1
GEO447,Senior Tutorial in Geology,Undergraduate,1.00 - 3.00,NONE,NONE,Independent readings in advanced topics. May be repeated once.,1,1,1,1
GEO448,Geosciences Colloquium,Undergraduate,1.0,NONE,NONE,"Every semester, the Department of Geosciences hosts a colloquium series. The series features weekly lectures covering a wide variety of geosciences research topics. The purpose of this course is to expose upper division geoscience students to current research being performed at Stony Brook University and elsewhere. May be repeated up to a limit of 3 credits.",1,1,1,1
GEO463,Sedimentation and Stratigraphy Laboratory,Undergraduate,1.0,[['GEO403']],NONE,Three hours of laboratory per week that corresponds to the content of GEO 403. The course emphasizes practical techniques in stratigraphy. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.,1,1,1,1
GEO467,Igneous and Metamorphic Petrology Laboratory,Undergraduate,1.0,[['GEO407']],NONE,Three hours of laboratory per week that corresponds to the content of GEO 407. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.,1,1,1,1
GEO475,Undergraduate Teaching Practicum I,Undergraduate,3.0,NONE,NONE,"Work with a faculty member as an assistant in one of the faculty member's regularly scheduled classes.  The student is required to attend all the classes, do all the regularly assigned work, and meet with the faculty member at regularly scheduled times to discuss the intellectual and pedagogical matters relating to the course.",1,1,1,1
GEO476,Undergraduate Teaching Practicum II,Undergraduate,3.0,[['GEO475']],NONE,Work with a faculty member as an assistant in one of the faculty member's regularly scheduled classes.  Students assume greater responsibility in such areas as leading discussions and analyzing results of tests that have already been graded. Students mya not serve as teaching assistants in the same course twice.,1,1,1,1
GEO487,Senior Research in Geology,Undergraduate,0.00 - 6.00,NONE,NONE,"Under the supervision of a faculty member, a major in the department may conduct research for academic credit.",1,1,1,1
GEO488,Internship,Undergraduate,0.00 - 6.00,NONE,NONE,"Participation in local, state, or national private enterprises, public agencies, or nonprofit institutions. May be repeated to a limit of 6 credits.",1,1,1,1
GEO496,Research and Synthesize Scientific Literature in Geoscience,Undergraduate,1.0,"[['GEO102', 'GEO122']]",NONE,"An introduction to writing a scientific literature review in the field of geosciences. Students will gain experience using scientific journal article databases, selecting relevant research articles from the peer-reviewed literature, and summarizing information effectively in written form. This course is to be taken in conjunction with any 300- or 400-level GEO course. Successful completion of this course satisfies the SBC categories WRTD and ESI.",1,1,1,1
GEO497,Research Communication in Geoscience,Undergraduate,1.0,"[['GEO102', 'GEO112'], ['GEO122']]",NONE,An introduction to ethics in scientific research and research communication in Geoscience. Topics from the NIH Ethics training course will be discussed with a focus on the student's current and future research and the ethical aspects of scientific communication. Discussions of clarity in scientific communication as a means of effecting ethical dissemination of scientific results will involve exposure to best practices in oral and written presentation.  Students will give oral presentations of their written work (based on the co-requisite course GEO 496) and be involved in peer assessment of presentations. Successful completion of this course satisfies the SBC categories CER and SPK.,1,1,1,1
GEO500,Geosciences Research Seminar,Graduate,0.0,NONE,NONE,"Meetings in which first-year graduate students and undergraduates with senior standing learn about the research activities of the Geosciences faculty.
Fall,",1,1,1,1
GEO502,GIS for Geologists,Graduate,1.0,NONE,NONE,"A practical introduction to geographic information system software.  Participants learn to use direct measurement and mathematical techniques to compute the location of features and gain practical experience in rendering imagery and tabular geographic data as layers on maps. The course consists of two three-hour sessions per week for the first five weeks of semester, which include fieldwork, lectures, demonstrations and software-based analysis of data. 
This course meets with GEO 588 (Geological Field Methods for Earth Science Teachers) for the first five weeks of the semester.  Students may not take GEO 502 and GEO 588 for credit.
Fall, every year, 1 credit, ABCF grading",1,1,1,1
GEO503,Mineral Equilibria,Graduate,3.0,NONE,NONE,"Covers the basics of the application of the principles of chemical thermodynamics to the resolution of geochemical and petrological problems. Begins with the first law and continues through phase transitions, properties of fluids, definitions of fugacity and activity of major and trace elements in fluids and molten solutions; configurational entropies; models quantifying nonideal mixing in solid solutions. Additional topics include interpretation of calorimetric studies and/or solubilities of minerals in aqueous solutions.
Prerequisites: Physical chemistry and thermodynamics, or permission of instructor
Fall, alternate years,",1,1,1,1
